Title,Release Date,Genres,Overview,Original Language,Vote Average,Vote Count,Popularity,TMDB ID
GoodFellas,9/12/1990,"Drama, Crime",true story henry hill half irish half sicilian brooklyn kid adopt neighbourhood gangster early age climb rank mafia family guidance jimmy conway,en,8.455,13494,15.0035,769
Grave of the Fireflies,4/16/1988,"Animation, Drama, War",final month world war ii year old sita sister set orphan mother kill air raid kobe japan fall aunt abandon bomb shelter survive relative emergency ration deplete sita set struggle survive,ja,8.5,5969,0.0157,12477
Life Is Beautiful,12/20/1997,"Comedy, Drama",touching story italian book seller jewish ancestry live little fairy tale creative happy life come abrupt halt entire family deport concentration camp world war ii lock try convince son thing game,it,8.444,13453,10.4392,637
Fight Club,10/15/1999,"Drama, Thriller",tick bomb insomniac slippery soap salesman channel primal male aggression shocking new form therapy concept catch underground fight club form town eccentric get way ignite control spiral oblivion,en,8.437,30504,22.702,550
Cinema Paradiso,11/17/1988,"Drama, Romance",filmmaker recall childhood fall love movie village theatre form deep friendship heater projectionist,it,8.435,4564,8.0588,11216
Impossible Things,6/17/2021,"Family, Drama",death abusive husband matilda find new good friend miguel young insecure disorient neighbour,es,8.43,410,3.1615,667257
City of God,8/30/2002,"Drama, Crime",poverty stricken fave rio de jane young man choose different path rocket bud photographer document increase drug relate violence neighbourhood jose sequent ambitious drug dealer diving dangerous life crime,pt,8.43,7724,10.6482,598
Harakiri,9/15/1962,"Action, Drama, History",down suck veteran tough han hire enter courtyard prosperous house ii unemployed family hope find place commit seppuku worthy second deliver coup de grace suicide ritual senior counselor ii clan question robin resolve integrity suspecting han hire seek charity honorable end follow pair interlock story lie bare difference honor respect promise examine legendary foundation samurai code,ja,8.4,1099,5.3398,14537
A Dog's Will,9/15/2000,"Comedy, Drama, Fantasy",lively jolo grill sly chick poor guy live hinterland cheat bunch people small town northeastern brazil die judge christ devil virgin mary admit paradise,pt,8.426,1172,3.5238,40096
The Lord of the Rings: The Fellowship of the Ring,12/18/2001,"Adventure, Fantasy, Action",young hobbit frodo bagging inherit mysterious ring uncle bilbo leave home order fall hand evil creator way fellowship form protect ring bearer sure ring arrive final destination doom place destroy,en,8.423,26180,26.3145,120
Psycho,6/22/1960,"Horror, Thriller, Mystery",la census real estate clerk marion crane go lam wad cash hope start new life end notorious bate motel manager norman bates care housebound mother,en,8.421,10440,12.5233,539
One Flew Over the Cuckoo's Nest,11/19/1975,Drama,petty criminal fake insanity serve sentence mental ward prison soon find leader patient enemy cruel domineering nurse run ward,en,8.414,10864,10.7878,510
Gabriel's Inferno,5/29/2020,"Romance, Drama",intriguing sinful exploration seduction forbid love redemption gabriel inferno captivating wildly passionate tale man escape personal hell try earn impossible forgiveness love,en,8.4,2427,3.7186,696374
Once Upon a Time in America,5/23/1984,"Drama, Crime",prohibition era jewish gangster return low east manhattan thirty year later confront ghost regret old life,en,8.411,5668,10.4533,311
The Lord of the Rings: The Two Towers,12/18/2002,"Adventure, Fantasy, Action",frodo bagging member fellowship continue sacred quest destroy ring separate path destiny lie tower tower gard corrupt wizard truman await neuron fortress bahadur deep dark land order frodo sam trek order destroy ring power gigli leg las aragon search capture merry pippin nefarious wizard truman await fellowship member orphan tower gard,en,8.408,22748,18.9407,121
Hope,10/2/2013,Drama,year old soon narrowly survive brutal sexual assault family labour help heal cope rage grief,ko,8.4,792,6.5489,255709
Spider-Man: Into the Spider-Verse,12/6/2018,"Animation, Action, Adventure, Science Fiction",struggle find place world juggle school family brooklyn teenager miles morale unexpectedly bite radioactive spider develop unfathomable power like spider wrestle implication new ability mile discover super collider create madman wilson kingpin fisk cause spider verse inadvertently transport dimension,en,8.399,16281,17.8369,324857
Howl's Moving Castle,9/9/2004,"Fantasy, Animation, Adventure",sophie young milliner turn elderly woman witch enter shop curse encounter wizard name howl get catch resistance fight king,ja,8.397,10409,15.4071,4935
The Empire Strikes Back,5/20/1980,"Adventure, Action, Science Fiction",epic saga continue luke sky walker hope defeat evil galactic empire learn way jedi age master yoda darth vader determined capture luke rebel leader princess lea cocky han solo chew acc droid capo red throw stage capture betrayal despair,en,8.396,17547,8.3425,1891
A Silent Voice: The Movie,9/17/2016,"Animation, Drama, Romance",ida start bully new girl class hiya deaf teasing continue rest class start turn lack compassion leave elementary school speak old wiser torment past behaviour decide want atone sin late,ja,8.4,4168,7.529,378064
Primal: Tales of Savagery,11/21/2019,"Action, Adventure, Animation, Drama",kennedy tartan say primal tale savagery feature caveman dinosaur brink extinction bond tragedy unlikely friendship hope survival,en,8.381,340,0.9183,704264
Radical,10/19/2023,Drama,mexican border town plague neglect corruption violence frustrated teacher try unorthodox new method break student apathy unlock curiosity potential genius,es,8.38,464,2.1588,1058694
Gabriel's Inferno: Part II,7/31/2020,"Romance, Drama",professor gabriel emerson finally learn truth julia mitchell identity realization come moment late julia wait respected dante specialist remember want gabriel win heart find love arm,en,8.379,1527,0.9776,724089
The Pianist,9/17/2002,"Drama, War",true story pianist way see plan experience warsaw nazi occupation jews city find force ghetto mailman find work play cafe family deport stay work labourer eventually go hiding ruin war tear city,en,8.4,9593,8.6158,423
Whiplash,10/10/2014,"Drama, Music",direction ruthless instructor talented young drummer begin pursue perfection cost humanity,en,8.377,15781,15.563,244786
Se7en,9/22/1995,"Crime, Mystery, Thriller",homicide detective desperate hunt serial killer crime base seven deadly sin dark haunt film take viewer torture remain victim seasoned somerset research sin effort inside killer mind novice partner mill scoff effort unravel case,en,8.4,21886,20.1309,807
Gabriel's Inferno: Part III,11/19/2020,"Romance, Drama",final film adaption erotic romance novel gabriel inferno write anonymous canadian author pen sylvan reynard,en,8.374,1063,1.9672,761053
Lucy Shimmers and the Prince of Peace,10/19/2020,"Drama, Family",second chance start harden criminal crosse path precocious little girl help angel change heart holiday season,en,8.372,317,6.0265,770156
Inception,7/15/2010,"Action, Science Fiction, Adventure",cobb skilled thief commit corporate espionage infiltrate subconscious target offer chance regain old life payment task consider impossible inception implantation person idea target subconscious,en,8.4,37706,26.5659,27205
Rear Window,8/1/1954,"Thriller, Mystery",wheelchair bind photographer spy neighbour apartment window convinced commit murder,en,8.4,6765,5.0773,567
Spider-Man: Across the Spider-Verse,5/31/2023,"Animation, Action, Adventure, Science Fiction",reunite gwen stacy brooklyn time friendly neighbourhood spider catapult multiverse encounter spider society team spider people charge protect multiverse existence hero clash handle new threat mile find pit spider set save love,en,8.347,7722,20.4704,569094
The Silence of the Lambs,2/14/1991,"Crime, Drama, Thriller",clarice starling student bis training academy jack crawford want clarice interview hannibal letter brilliant psychiatrist violent psychopath serve life bar act murder cannibalism crawford believe letter insight case starle attractive young woman bait draw,en,8.3,16960,3.4881,274
The Legend of Hei,8/27/2019,"Animation, Fantasy, Action",cat spirit leo home deforest human find new run group spirit creature wing dream conquer land rightfully theirs run human know julian separate leo spirit journey cat spirit learn control ability form thought ally spirit human,zh,8.345,393,5.0057,620249
High and Low,3/1/1963,"Drama, Crime, Mystery, Thriller",midst attempt company powerhouse executive hit huge ransom demand chauffeur son kidnap mistake,ja,8.3,998,2.9463,12493
American History X,7/1/1998,Drama,derek vineyard parole serve year prison kill africa american man brother danny vineyard narration learn go prison derek skinhead leader violent white supremacist gang commit act racial crime la action greatly influence danny reform fresh prison derek sever contact gang determined danny go violent path,en,8.336,11947,5.5097,73
The Quintessential Quintuplets Movie,5/20/2022,"Animation, Comedy, Romance",lovely young girl hate study hire time tutor future guide education heart time spend bring close feeling grow girl future finish year high school school festival approach set sight s future future,ja,8.335,414,2.6136,820067
Princess Mononoke,7/12/1997,"Adventure, Fantasy, Animation",ash taka prince disappear amish people curse demonize boar god journey west find cure way encounter san young human woman fight protect forest lady bosh try destroy ash taka find way bring balance conflict,ja,8.3,8442,8.209,128
Dou kyu sei – Classmates,2/20/2016,"Romance, Animation",rhino sago honor student perfect score entrance exam hilary lusaka band popular girl cross path day start talk practice school upcoming chorus festival school meet regularly hilary help rhino improve singing skill listen voice harmonize heart start beat,ja,8.323,406,1.9238,372754
A Brighter Summer Day,7/27/1991,"Crime, Drama, Romance",boy experience love friendship injustice grow taiwan,zh,8.321,343,2.9015,15804
Back to the Future,7/3/1985,"Adventure, Comedy, Science Fiction",eighties teenager marty fly accidentally send time inadvertently disrupt parent meet attract mother romantic interest marty repair damage history rekindle parent romance help eccentric inventor friend doc brown return,en,8.3,20701,12.1415,105
The Wild Robot,9/12/2024,"Animation, Science Fiction, Family",shipwreck intelligent robot call row strand uninhabited island survive harsh environment row bond island animal care orphan baby goose,en,8.317,5192,32.1292,1184918
"Josee, the Tiger and the Fish",12/25/2020,"Animation, Drama, Romance",dream diving abroad tune get job assist jose artist imagination take far wheelchair tide turn push place think possible inspire love fit storybook,ja,8.316,518,2.6315,652837
Counterattack,2/27/2025,"Action, Adventure, Thriller",hostage rescue mission create new enemy capt guerrero elite soldier face ambush criminal group,es,8.315,718,15.0645,1356039
Ikiru,10/9/1952,Drama,kanji wannabe middle aged man work monotonous bureaucratic position decade learn cancer start look meaning life,ja,8.3,1215,3.0536,3782
Perfect Blue,2/28/1998,"Animation, Thriller",encourage manager rise pop star mime take recur role popular suddenly handler collaborator begin turn murder,ja,8.3,2854,4.4373,10494
Léon: The Professional,9/14/1994,"Crime, Drama, Action",lion hit man new york earn rep effective clean nextdoor neighbour wipe loose cannon de agent unwilling custodian year old mathilda long mathilda thought turn revenge consider follow lion footstep,fr,8.301,15326,11.312,101
Dead Poets Society,6/2/1989,Drama,elite old fashioned boarding school new england passionate english teacher inspire student rebel convention seize potential day court disdain stern headmaster,en,8.3,11761,10.6029,207
The Great Dictator,10/15/1940,"Comedy, War",dictator adenoid handel try expand empire poor jewish barber try avoid persecution honker regime,en,8.3,3493,2.6254,914
Sunset Boulevard,8/10/1950,Drama,hack screenwriter write screenplay silent film star fade hollywood obscurity,en,8.3,2712,3.0779,599
Dedicated to my ex,11/1/2019,"Drama, Comedy",film tell story ariel year old decide form rock band compete prize thousand dollar musical band contest option try money save relationship reunite girlfriend break trip finland internship ariel friend ortega decide casting find member band know music form band member diverse opposite personality,es,8.291,510,0.4256,644479
Violet Evergarden: The Movie,9/18/2020,"Animation, Fantasy, Romance, Drama",world move war technological advance bring change life violet hope lost command officer,ja,8.3,454,2.8804,533514
Hotarubi no Mori e,9/17/2011,"Romance, Animation, Fantasy",hot summer day little girl get lose enchanted forest mountain god spirit reside young boy appear touch fear make disappear wondrous adventure await,ja,8.284,1156,0.0039,92321
We All Loved Each Other So Much,12/21/1974,"Drama, Comedy",partisan bind strong friendship return home war clash everyday reality put strain bond,it,8.284,605,0.8256,42269
Once Upon a Time in the West,12/21/1968,"Drama, Western",railroad builder advance unstoppable arizona desert way sea jill arrive small town flagstone intention start new life,it,8.284,4585,12.2924,335
Modern Times,2/5/1936,"Comedy, Drama, Romance",bumble tramp desire build home young woman thwart time time lack experience habit wrong place wrong time,en,8.281,3848,2.5163,3082
Given,8/22/2020,"Animation, Drama, Music, Romance",hark secretly feeling akihito year akihito relationship roommate violinist get murat hark akihito love clash start forward,ja,8.276,404,1.8681,632632
It's a Wonderful Life,12/20/1946,"Drama, Family, Fantasy",holiday favourite generation george bailey spend entire life give people bedford fall prevent rich skin flint potter take entire town george modest building loan company christmas eve business lose george trouble begin,en,8.276,4543,6.179,1585
Neon Genesis Evangelion: The End of Evangelion,7/19/1997,"Animation, Science Fiction, Action, Drama",steele order attack nerve aim destroy evans kendo advance plan human instrumentality project shin push limit sanity force decide fate humanity,ja,8.3,1702,5.5448,18491
The Intouchables,11/2/2011,"Drama, Comedy",true story man meet quadriplegic aristocrat injure paraglide accident young man project,fr,8.273,17729,10.8644,77338
Apocalypse Now,5/19/1979,"Drama, War",height vietnam war captain benjamin willard send dangerous mission officially exist exist goal locate eliminate mysterious green beret colonel name walter kurt lead personal army illegal guerrilla mission enemy territory,en,8.272,8561,6.3503,28
Once Upon a Studio,9/24/2023,"Animation, Family, Fantasy, Comedy",create disney anniversary short feature mickey mouse corral gallery legendary disney character group photo,en,8.271,399,1.9463,1139087
City Lights,2/6/1931,"Comedy, Drama, Romance",tramp fall love beautiful blind flower girl standoff friendship wealthy man allow girl benefactor suitor,en,8.3,2292,2.5952,901
The Lion King,6/15/1994,"Family, Animation, Drama",young lion prince simba eager day king pride land grow watchful eye father mucosa villainous uncle scar conspire throne amid betrayal tragedy simba confront past find rightful place circle life,en,8.258,18881,13.688,8587
Paths of Glory,10/25/1957,"War, Drama, History",command officer defend scapegoat trial fail offensive occur french army,en,8.258,3064,2.5084,975
Miracle in Cell No. 7,10/10/2019,Drama,separate daughter father intellectual disability prove innocence jail death commander child,tr,8.257,4476,4.3923,637920
Le Trou,3/18/1960,"Drama, Thriller, Crime",prison inmate hatch plan literally dig jail prisoner claude gaspar move cell risk share plan newcomer course day prisoner friend break concrete floor bed post begin way sewer system escape assure,fr,8.257,513,1.7696,29259
The Legend of 1900,10/28/1998,"Drama, Music",story virtuoso piano player live entire life aboard ocean liner bear raise ship learn outside world interaction passenger set foot land love life year later ship destroy band member fear aboard willing ship,it,8.254,2330,2.3763,10376
Oldboy,11/21/2003,"Drama, Thriller, Mystery, Action",clue come imprison drug torture year desperate man seek revenge captor,ko,8.252,9115,12.0484,670
Rascal Does Not Dream of a Dreaming Girl,6/15/2019,"Animation, Romance, Drama, Fantasy",fujiwara makuta abuse gaza second year high school blissful day girlfriend upperclassman mai samurai interrupt appearance crush shake make ara,ja,8.253,544,2.8746,572154
I Want to Eat Your Pancreas,9/1/2018,"Animation, Drama, Romance",classmate crush diagnose pancreatic disease average high schooner set final day,ja,8.244,1639,4.5316,504253
Clouds,10/9/2020,"Music, Drama, Romance",young musician zach bitch discover cancer spread leave month live limited time follow dream make album unaware soon viral music phenomenon,en,8.243,1027,2.2495,630566
Taylor Swift: Reputation Stadium Tour,12/31/2018,Music,taylor swift take stage dallas reputation stadium tour celebrate monumental night music memory visual magic,en,8.2,408,0.8222,568332
Life in a Year,11/27/2020,"Drama, Romance",year old find girlfriend die set entire life year leave,en,8.241,1923,4.7878,447362
Out of the Clear Blue Sky,12/24/2019,"Comedy, Drama, Music",return earth imitator legendary mexican artist pedro infante prove long womanizer enter paradise,es,8.24,359,0.6723,654299
Klaus,11/8/2019,"Animation, Family, Adventure, Comedy, Fantasy",jasper distinguish postal academy bad student send sheer ensure small village locate icy island arctic circle grumpy inhabitant barely exchange word let letter jasper abandon duty postman meet local teacher alva klaus mysterious carpenter live cabin handmade toy,en,8.239,4314,3.7658,508965
Avengers: Endgame,4/24/2019,"Adventure, Science Fiction, Action",devastating event avenger infinity war universe ruin effort mad titan thank help remain ally avenger assemble order undo thank action restore order universe matter consequence store,en,8.2,26537,16.699,299534
Come and See,10/17/1985,"Drama, War",invasion village byelorussian german force send young flora forest join weary resistance fighter family wish meet girl flash accompany village return home flora find family fellow peasant massacre continued survival amidst brutal debris war increasingly nightmarish battle despair hope,ru,8.2,1634,3.9671,25237
Avengers: Infinity War,4/25/2018,"Adventure, Action, Science Fiction",avenger ally continue protect world threat large hero handle new danger emerge cosmic shadow thank despot intergalactic infamy goal collect infinity stone artefact unimaginable power use inflict twisted reality avenger fight lead moment fate earth existence uncertain,en,8.2,30751,25.0916,299536
Five Feet Apart,3/14/2019,"Romance, Drama",seventeen harold stella spend time hospital cystic fibrosis patient life routine boundary self control test meet impossibly charming teen illness instant flirtation restriction dictate maintain safe distance connection intensifie temptation throw rule window embrace attraction,en,8.235,5743,7.7165,527641
Ultraman: Rising,6/14/2024,"Animation, Science Fiction, Family, Action",star athlete reluctantly return home father duty ultra shielding tokyo giant monster legendary hero,en,8.23,335,3.4207,829402
Il Sorpasso,12/5/1962,"Drama, Comedy, Adventure",roberto shy law student rome meet bruno harold exuberant capricious man take drive roman tuscany country summer journey start blend daily life pair newfound friendship test,it,8.2,801,1.0524,24188
Green Book,11/16/2018,"Drama, History",tony lip bouncer hire drive pianist don shirley tour deep south day african americans force find alternate accommodation service segregation law mason dixon line rely guide call negro motorist green book,en,8.229,12125,10.0268,490132
Evangelion: 3.0+1.0 Thrice Upon a Time,3/8/2021,"Animation, Action, Science Fiction, Drama",aftermath fourth impact strand evangel ion shin asoka find refuge rare pocket humanity exist ruin planet earth live life far different day evangel pilot danger world far new impact loom horizon prove true end evangel,ja,8.2,859,3.0066,283566
The Matrix,3/31/1999,"Action, Science Fiction",set century matrix tell story computer hacker join group underground insurgent fight vast powerful computer rule earth,en,8.229,26597,19.5597,603
Mommy,9/19/2014,Drama,peculiar neighbour offer hope recent widow struggle raise teenager unpredictable violent,fr,8.228,2767,1.945,265177
"The Boy, the Mole, the Fox and the Horse",12/25/2022,"Animation, Family, Adventure, Fantasy",unlikely friendship boy mole fox horse travel boy search home,en,8.226,646,3.5729,995133
Wolf Children,7/21/2012,"Animation, Family, Drama, Fantasy",werewolf lover unexpectedly die accident woman find way raise son daughter inheritance father trait prove challenge,ja,8.2,2351,2.562,110420
Gladiator,5/4/2000,"Action, Drama, Adventure",death emperor marcus aurelius devious son take power denote maximum rome capable general marcus prefer eventually maximum force gladiator battle death man amusement pay audience,en,8.22,19884,16.2759,98
Justice League Dark: Apokolips War,5/5/2020,"Animation, Action, Science Fiction, Adventure, Fantasy",earth decimate intergalactic tyrant dark say devastate justice league poorly execute war super hero remain bastion good justice league teen titan suicide squad assorted regroup strategy war dark say order save planet survive inhabitant,en,8.2,1500,3.9448,618344
Saving Private Ryan,7/24/1998,"Drama, History, War",troop storm beach normandy brother lie dead battlefield fourth trap enemy line ranger captain john miller seven man task penetrate german hold territory bring boy home,en,8.219,16409,11.9645,857
Puss in Boots: The Last Wish,12/7/2022,"Animation, Adventure, Fantasy, Comedy, Family",puss boot discover passion adventure take toll burn life leave life leave puss set epic journey find mythical wish restore life,en,8.216,8300,15.3482,315162
Witness for the Prosecution,12/17/1957,"Drama, Mystery, Crime",ail barrister agree defend man sensational murder trial unconvincing testimony defendant wife subject confusion,en,8.2,1515,3.8832,37257
Wolfwalkers,10/26/2020,"Animation, Family, Adventure, Fantasy",time superstition magic wolf see demonic nature evil tame young apprentice hunter come ireland father wipe pack save wild native girl friendship lead discover world wolf walker transform thing father task destroy,en,8.213,1274,2.5524,441130
Inglourious Basterds,8/2/2009,"Drama, Thriller, War",nazi occupy france world war ii group jewish american soldier know bastard choose specifically spread fear reich scalping brutally kill nazi bastard lead aldo rain soon cross path french jewish teenage girl run movie theatre paris target soldier,en,8.213,23029,16.7286,16869
Woman in the Dunes,2/15/1964,"Drama, Thriller",vacation entomologist suffer extreme physical psychological trauma take captive resident poor seaside village live woman life task shovel sand,ja,8.212,479,3.0827,16672
The Shining,5/23/1980,"Horror, Thriller",jack torrance accept caretaker job overlook hotel wife wendy son danny live isolate rest world winter agent prepare madness lurk,en,8.211,18053,12.7833,694
The Help,8/9/2011,Drama,abilene clark middle aged africa american maid spend life raise white child recently lose son ginny jackson africa american maid offend employer despite family struggle money desperate need job eugenia skeet plan young white woman recently move home graduate college find childhood maid mysteriously disappear story intertwine explain life jackson mississippi revolve help keep certain distance racial line,en,8.207,8611,8.8775,50014
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,10/16/2020,"Animation, Action, Fantasy, Thriller",tanjore amado join insure ibiza boy raise boar wear boar head zenith satsuma scared boy reveal true power sleep board infinity train new mission fire hash ira roku defeat demon torment people kill demon slayer oppose,ja,8.206,4133,28.3699,635302
Star Wars,5/25/1977,"Adventure, Action, Science Fiction",princess lea capture hold hostage evil imperial force effort galactic empire venturesome luke sky walker dash captain han solo team loveable robot duo red capo rescue beautiful princess restore peace justice empire,en,8.206,21335,13.7748,11
The Art of Racing in the Rain,8/8/2019,"Drama, Romance",family dog near human soul philosopher mind evaluate life lesson learn human owner race car driver,en,8.204,1533,2.7976,522924
Coco,10/27/2017,"Family, Animation, Music, Adventure",despite family baffling generation sell ban music miguel dream accomplished musician like idol ernesto de la cruz desperate prove talent miguel find stunning colourful land dead follow mysterious chain event way meet charming trickster hector set extraordinary journey unlock real story miguel family history,en,8.204,20083,19.2047,354912
The Handmaiden,6/1/2016,"Thriller, Drama, Romance",korea period japanese occupation new girl look hire handmaiden japanese heiress video live secluded life large countryside estate domineering uncle suzuki maid secret pickpocket recruit swindler posing japanese count help seduce lady elope rob fortune lock madhouse plan proceed accord plan look video discover unexpected emotion,ko,8.2,3975,16.1301,290098
Michael Jackson's Thriller,11/14/1983,"Horror, Music, Mystery",night movie turn nightmare michael date attack horde bloodthirsty zombie success thriller album michael jackson electrify performance motown short film music video thriller establish jackson international superstar global phenomenon thriller credit transform music video art form break racial barrier popular entertainment popularize making documentary format create home video market success transform jackson dominant force global pop culture music video induct united states national film registry library congress culturally historically aesthetically significant thriller jackson seventh final hot hit thriller album album history seven,en,8.204,714,4.1141,92060
The Prestige,10/17/2006,"Drama, Mystery, Science Fiction",mysterious story magician intense rivalry lead lifelong battle supremacy obsession deceit jealousy dangerous deadly consequence,en,8.204,16649,13.5216,1124
TAYLOR SWIFT | THE ERAS TOUR,10/13/2023,Music,concert film document taylor swift record breaking era tour 20232024 film los angeles show film capture tour act represent different musical era swifts career film showcase song elaborate stage production swift performance,en,8.2,453,2.3615,1160164
Shutter Island,2/14/2010,"Drama, Thriller, Mystery",world war ii soldier turn marshal teddy daniels investigate disappearance patient hospital criminally insane effort compromise troubling vision mysterious doctor,en,8.201,24692,16.3336,11324
My Mom Is a Character 3,12/26/2019,Comedy,dona herminia rediscover reinvent child form new family supermom deal new life scenario marcelino pregnant julian get marry,pt,8.197,482,0.2488,620683
Doctor Who: The Day of the Doctor,11/23/2013,"Science Fiction, Adventure",terrible awakening london national gallery murderous plot afoot elizabethan england space ancient battle reach devastating conclusion reality stake doctor dangerous past come haunt,en,8.2,760,0.8029,313106
The Apartment,6/21/1960,"Comedy, Drama, Romance",bud baxter minor clerk huge new york insurance company discover quick way climb corporate ladder lend apartment executive place mistress deal aftermath visit night s leave major problem solve,en,8.2,2446,3.8474,284
Maquia: When the Promised Flower Blooms,2/24/2018,"Animation, Fantasy, Drama, Adventure",maquis member special race call morph live hundred year maquis feel lonely despite surround people orphan young age daydream outside world dare travel home warning clans chief day kingdom mozart invade homeland leave giant dragon rena control king wish add immortality bloodline ravage morph homeland kill inhabitant catch midst attack maquis carry rena soon die leave desert forest truly save cry single baby distance maquis find baby destroy village decide raise name ariel know human world raise child age fast,ja,8.2,658,2.7016,476292
Hacksaw Ridge,10/7/2016,"Drama, History, War",wii american army medic desmond doss serve battle okinawa refuse kill people conscientious objector american history receive congressional medal honor,en,8.193,14198,13.8152,324786
20th Century Girl,10/6/2022,"Romance, Drama",teen girl keep close tab boy school behalf deeply smite good friend get sweep love story,ko,8.19,744,11.8691,851644
A Clockwork Orange,12/19/1971,"Science Fiction, Crime",near future britain young alexander de large pal kick beat rape destroy life alex swoon music beethoven state eager crack juvenile crime give incarcerated alex option undergo invasive procedure rob personal agency time conscience commodity alex change tune,en,8.186,13254,7.4904,185
Django Unchained,12/25/2012,"Drama, Western",help german bounty hunter freed slave set rescue wife brutal mississippi plantation owner,en,8.2,26916,11.5871,68718
The Seventh Seal,2/16/1957,"Fantasy, Drama",disillusioned swedish knight antonius block return home crusade find country grip black death challenge death chess match life torment belief god exist block set journey meet travel player wife mia determined evade death long commit redemptive act live,sv,8.183,3132,3.0809,490
Memento,10/11/2000,"Mystery, Thriller",leonard shelby track man rape murder wife difficulty locate wife killer compound fact suffer rare untreatable form short term memory loss recall detail life accident leonard remember happen minute ago s go,en,8.177,15406,9.4325,77
Investigation of a Citizen Above Suspicion,10/16/1970,"Drama, Thriller",rome italy commit heinous crime senior police officer expose evidence incriminate moral commitment prevent circumvent law social order protect,it,8.2,820,0.9623,26451
Bicycle Thieves,7/21/1948,Drama,unemployed antonio elated finally find work hang poster war tear rome day bicycle essential work get steal job doom find thief help son antonio comb city desperate justice,it,8.176,2503,2.3762,5156
Steven Universe: The Movie,10/7/2019,"TV Movie, Adventure, Animation, Comedy, Fantasy, Music, Science Fiction, Action, Drama",year bring peace galaxy steven universe see past come haunt form derange gem want destroy earth,en,8.174,820,2.7702,537061
